Accession	source	Genome Name / Sample Name	completeness	contamination	Phylum	Amt-1	Amt-2	Amt-3	ureC	cspc	ipct	nhap	trk	metE	metE_2	flaK	cheA	cheY	cheY_2	TadC	flal	proDH	RocA
2706794823	img	Marine archaeal group 1 JGI GoM_375m_188_E10 (contamination screened)	80.9	0.5	Thaumarchaeota	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
2527291500	img	Thaumarchaeota archaeon SCGC AAA007-O23 (contamination screened)	86.1	2.1	Thaumarchaeota	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
2654587877	img	unclassified Nitrosopumilaceae Bin 71	79.4	2.1	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0
2660238811	img	Thaumarchaeota archaeon SCGC AC-312_G05 - v2 (unscreened)	19.6	0	Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2786546490	img	Thaumarchaeota archaeon NP142	85.6	2.1	Thaumarchaeota	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
2651870212	img	Nitrosopelagicus sp. REDSEA-S43_B1	74.2	2.6	Thaumarchaeota	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2651870205	img	Nitrosopelagicus sp. REDSEA-S08_B1	45.9	3.1	Thaumarchaeota	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2663763547	img	Thaumarchaeota archaeon SCGC AD-308-D05v2 (contamination screened)	66.5	0	Thaumarchaeota	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1
2626541593	img	Uncultured Thaumarcheaota bin 8	89.7	0.5	Thaumarchaeota	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1
2716884885	img	Thaumarchaeota archaeon SCGC AC-337_F14v2 (unscreened)	32.4	1	Thaumarchaeota	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
2663762694	img	Nitrosopumilales archaeon AG-122-B02 (unscreened)	42.8	1	Thaumarchaeota	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
2537561915	img	Nitrosoarchaeum limnia BG20	82.5	2.1	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
2690315682	img	Nitrosopumilus sp. Nsub	92.3	0.5	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0
2634166670	img	Thaumarchaeota archaeon SCGC AC-728-E05 (unscreened)	66.5	0.5	Thaumarchaeota	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1
2585427666	img	Candidatus Nitrososphaera evergladensis SR1	94.3	3.1	Thaumarchaeota	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1
2721755881	img	Thaumarchaeota archaeon JGI 01_B9 (contamination screened)	33	0	Thaumarchaeota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2630968656	img	Marine Group I thaumarchaeote RSA3 (unscreened)	87.2	5.2	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1
2657244911	img	Thaumarchaeota AK31 archaeon AG-122-D18 (unscreened)	45.4	0	Thaumarchaeota	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1
2657245302	img	Thaumarchaeota archaeon SCGC AD-305-F05 - v2 (contamination screened)	73.2	0.5	Thaumarchaeota	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1
2651869505	img	Candidatus Nitrosotenuis aquarius AQ6f complete genome	92.2	1	Thaumarchaeota	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1
2518645576	img	Candidatus Nitrosopumilus sediminis AR2	89.7	0.5	Thaumarchaeota	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1
2681813470	img	putative Thaumarchaeota genus Nitrosopumilus sp. v2 (bin U_52180)	89.2	0.5	Thaumarchaeota	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
2663763551	img	Thaumarchaeota archaeon SCGC AC-312_J09v2 (contamination screened)	87.6	0.5	Thaumarchaeota	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
2634166810	img	Thaumarchaeota archaeon SCGC AC-337-E14 (unscreened)	85.6	0	Thaumarchaeota	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0
2880827348	img	uncultured Thaumarchaeota SCGC SAG AB-747_D17 decontaminated	32.5	0	Thaumarchaeota	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2585428036	img	Marine Group I thaumarchaeote SCGC AAA799-N04 (unscreened)	69.6	0.5	Thaumarchaeota	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1
2639762712	img	Marine Group I crenarchaeon SCGC AB-629-I23 - v2 (unscreened)	83	0.5	Thaumarchaeota	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
2619619229	img	Thaumarchaeota archaeon N4	93.3	2.1	Thaumarchaeota	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1
2634166697	img	Thaumarchaeota archaeon SCGC AD-259-M03 (unscreened)	53.1	0.5	Thaumarchaeota	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2516493037	img	Candidatus Nitrosopumilus salaria BD31	79.9	0	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1
2775506846	img	Nitrosotalea sinensis Nd2 NSIN	92.3	0.5	Thaumarchaeota	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
2687453665	img	Thaumarchaeota archaeon SCGC AC-337_L13v2 (unscreened)	25.8	0	Thaumarchaeota	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2651870211	img	Nitrosopelagicus sp. REDSEA-S37_B6	80.4	0	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2630968793	img	Candidatus Nitrosopelagicus brevis CN25	93.8	0.5	Thaumarchaeota	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2657245245	img	Thaumarchaeota archaeon SCGC AC-312_C19v2 (unscreened)	42.8	0	Thaumarchaeota	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2663762695	img	Nitrosopumilales archaeon AG-122-B02 (contamination screened)	38.6	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
2660238810	img	Thaumarchaeota AK31 archaeon AG-122-L20 (contamination screened)	17	0	Thaumarchaeota	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
2786546739	img	Nitrosopumilales archaeon CG11_big_fil_rev_8_21_14_0_20_33_24	43.8	1	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	1
2718217702	img	Candidatus Nitrosocosmicus exaquare G61	89.7	1	Thaumarchaeota	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1
2634166754	img	Thaumarchaeota archaeon SCGC AAA286-D17 (unscreened)	75.3	0	Thaumarchaeota	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
2585427612	img	Nitrososphaera viennensis EN76	94.9	2.1	Thaumarchaeota	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1
2706794841	img	Marine archaeal group 1 JGI GoM_1470m_185_E01 (contamination screened)	53.6	0.5	Thaumarchaeota	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1
2724679685	img	Thaumarchaeota archaeon JGI 02_H7 (contamination screened)	38.1	0	Thaumarchaeota	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2706794893	img	Marine archaeal group 1 JGI GoM_1470m_185_F01 (contamination screened)	58.2	0.5	Thaumarchaeota	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1
2781125712	img	uncultured Candidatus Nitrosotenuis sp. bin41	77.8	7.7	Thaumarchaeota	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1
2657245293	img	Thaumarchaeota archaeon SCGC AC-312_A11 - v2 (contamination screened)	55.7	0	Thaumarchaeota	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2786546487	img	Thaumarchaeota archaeon SAT137	77.8	1	Thaumarchaeota	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1
2657245307	img	Thaumarchaeota archaeon SCGC AC-312_F15 - v2 (unscreened)	46.9	0	Thaumarchaeota	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2716884235	img	Thaumarchaeota archaeon SCGC AG-293-C20	52.6	0.5	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1
2529292698	img	Marine Group I thaumarchaeote SCGC AAA160-J20 (unscreened)	35.1	0	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2728369526	img	Nitrosopumilus sp. AR	91.2	83	Thaumarchaeota	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1
2657245294	img	Thaumarchaeota archaeon SCGC AC-312_A11 - v2 (unscreened)	58.2	0	Thaumarchaeota	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2648501536	img	Thaumarchaeota archaeon SCGC AB-661-M19 (contamination screened)	39.7	0	Thaumarchaeota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2548876507	img	Nitrosopumilus sp. SJ	89.7	0.5	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1
2630968650	img	Thaumarchaeota archaeon SAT1	92.8	1	Thaumarchaeota	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1
2684622838	img	Thaumarchaeota archaeon SCGC AC-337_F14v2 (contamination screened)	31.9	1	Thaumarchaeota	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
2651870207	img	Nitrosopelagicus sp. REDSEA-S25_B3	68	3.1	Thaumarchaeota	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2636415972	img	Thaumarchaeota archaeon SCGC AD-311-O21 (contamination screened)	69.1	0.5	Thaumarchaeota	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1
2731639255	img	Marine group I.1a Thaumarchaeota archaeon SCGC AG-487_K17 (contamination screened)	34	0	Thaumarchaeota	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2651870208	img	Nitrosopelagicus sp. REDSEA-S27_B13N2	62.9	1	Thaumarchaeota	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
2634166691	img	Thaumarchaeota archaeon SCGC AD-117-G06 (unscreened)	47.4	0	Thaumarchaeota	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
2663763548	img	Thaumarchaeota archaeon SCGC AD-308-D05v2 (unscreened)	66.5	0	Thaumarchaeota	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1
2634166661	img	Thaumarchaeota archaeon SCGC AC-665-F20 (unscreened)	81.4	0.5	Thaumarchaeota	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
2786546740	img	Nitrosopumilales archaeon CG_4_9_14_0_8_um_filter_34_10	85.6	0.5	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1
2698536741	img	unclassified Thaumarchaeota archaeon bin19	90.8	2.1	Thaumarchaeota	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1
2716884236	img	Thaumarchaeota archaeon SCGC AG-159-M13	31.9	1	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
2636415725	img	uncultured crenarchaeote	93.8	86.1	Crenarchaeota	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2513237066	img	Marine Group I crenarchaeote sp. SCGC AAA288-I14 (unscreened)	68.6	0	Crenarchaeota	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
2513237068	img	Marine Group I crenarchaeote sp. SCGC AAA007-N19 (unscreened)	58.2	0	Crenarchaeota	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
2524023105	img	Marine Group I thaumarchaeote sp. SCGC AAA288-P18 (unscreened)	23.2	0.5	Crenarchaeota	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
2513237065	img	Marine Group I crenarchaeote sp. SCGC AAA288-J14 (unscreened)	38.6	0.5	Crenarchaeota	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
GCA_001917505.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_38_12	75.2	0.5	Thaumarchaeota	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1
GCA_001917965.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_4_48_7	60.8	1	Thaumarchaeota	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
GCA_001917995.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_4_38_7	69.1	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
GCA_001918455.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_3_50_5	69.6	4.1	Thaumarchaeota	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1
GCA_001918475.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_3_38_6	72.2	3.6	Thaumarchaeota	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1
GCA_001918975.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_2_39_13_2	37.6	0	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
GCA_001919295.1	ncbi	Thaumarchaeota archaeon 13_1_40CM_2_39_4	23.2	1	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
GCA_001920395.1	ncbi	Thaumarchaeota archaeon 13_1_20CM_2_39_20	56.2	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1
GCA_001443365.1	ncbi	Thaumarchaeota archaeon CSP1-1	91.7	0.5	Thaumarchaeota	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1
GCA_001510225.1	ncbi	Thaumarchaeota archaeon casp-thauma1	85.1	0	Thaumarchaeota	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1
GCA_001510275.1	ncbi	Thaumarchaeota archaeon casp-thauma3	87.1	0.5	Thaumarchaeota	1	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1
GCA_001510295.1	ncbi	Thaumarchaeota archaeon casp-thauma4	61.3	0.5	Thaumarchaeota	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_001914355.1	ncbi	Thaumarchaeota archaeon BIN5	33	0	Thaumarchaeota	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1
GCA_003724215.1	ncbi	Thaumarchaeota archaeon S14	71.1	0.5	Thaumarchaeota	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0
GCA_003724275.1	ncbi	Thaumarchaeota archaeon S13	77.3	0.5	Thaumarchaeota	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0
GCA_016872055.1	ncbi	Thaumarchaeota archaeon	89.1	1	Thaumarchaeota	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1
GCA_002737455.1	ncbi	Thaumarchaeota archaeon	90.7	0.5	Thaumarchaeota	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1
GCA_002317795.1	ncbi	Thaumarchaeota archaeon	88.7	2.6	Thaumarchaeota	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
GCA_005877385.1	ncbi	Thaumarchaeota archaeon	89.7	3.1	Thaumarchaeota	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1
GCA_016201435.1	ncbi	Thaumarchaeota archaeon	86.6	5.2	Thaumarchaeota	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1
GCA_016215465.1	ncbi	Thaumarchaeota archaeon	89.7	2.1	Thaumarchaeota	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
GCA_016201515.1	ncbi	Thaumarchaeota archaeon	83	0.5	Thaumarchaeota	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1
GCA_005877205.1	ncbi	Thaumarchaeota archaeon 	89.7	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
GCA_018658785.1	ncbi	Thaumarchaeota archaeon	83.5	0.5	Thaumarchaeota	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCA_005877475.1	ncbi	Thaumarchaeota archaeon	85.6	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
GCA_018671875.1	ncbi	Thaumarchaeota archaeon	81.9	1	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_016178405.1	ncbi	Thaumarchaeota archaeon	84	4.6	Thaumarchaeota	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1
GCA_016871955.1	ncbi	Thaumarchaeota archaeon	46.9	1.5	Thaumarchaeota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
GCA_018657705.1	ncbi	Thaumarchaeota archaeon	85.6	2.6	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_018661975.1	ncbi	Thaumarchaeota archaeon	84.5	1.5	Thaumarchaeota	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCA_005877075.1	ncbi	Thaumarchaeota archaeon	85.6	2.1	Thaumarchaeota	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1
GCA_010028435.1	ncbi	Thaumarchaeota archaeon	88.1	1	Thaumarchaeota	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1
GCA_003176995.1	ncbi	Thaumarchaeota archaeon	90.8	2.1	Thaumarchaeota	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1
GCA_018647405.1	ncbi	Thaumarchaeota archaeon	84.5	3.1	Thaumarchaeota	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_010028425.1	ncbi	Thaumarchaeota archaeon	88.1	1.5	Thaumarchaeota	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1
GCA_016871975.1	ncbi	Thaumarchaeota archaeon	80.4	0.5	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1
GCA_018674995.1	ncbi	Thaumarchaeota archaeon	81.5	2.1	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_018698115.1	ncbi	Thaumarchaeota archaeon	82.5	0.5	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_018669145.1	ncbi	Thaumarchaeota archaeon	84.1	5.2	Thaumarchaeota	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCA_010030525.1	ncbi	Thaumarchaeota archaeon	55.1	0.5	Thaumarchaeota	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1
GCA_018700295.1	ncbi	Thaumarchaeota archaeon	76.2	1.5	Thaumarchaeota	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
GCA_018655005.1	ncbi	Thaumarchaeota archaeon	83.5	3.1	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_018659865.1	ncbi	Thaumarchaeota archaeon	71.6	1.5	Thaumarchaeota	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
GCA_005877305.1	ncbi	Thaumarchaeota archaeon	80.9	0.5	Thaumarchaeota	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1
GCA_018668425.1	ncbi	Thaumarchaeota archaeon	77.3	1	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1
GCA_005877115.1	ncbi	Thaumarchaeota archaeon	79.9	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
GCA_016126025.1	ncbi	Thaumarchaeota archaeon	89.2	0.5	Thaumarchaeota	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1
GCA_018650315.1	ncbi	Thaumarchaeota archaeon	84	3.6	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
GCA_018263495.1	ncbi	Thaumarchaeota archaeon	71.1	0.5	Thaumarchaeota	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
GCA_005877295.1	ncbi	Thaumarchaeota archaeon	81.9	0.5	Thaumarchaeota	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
GCA_005877345.1	ncbi	Thaumarchaeota archaeon	66.4	1.5	Thaumarchaeota	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
GCA_004195455.1	ncbi	Thaumarchaeota archaeon	63.9	22.7	Thaumarchaeota	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
